Alloy composition,FORMULA,IDENTIFIER: Reference ID,REFERENCE: doi,PROPERTY: Processing method,PROPERTY: Microstructure,PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),PROPERTY: grain size ($\mu$m),PROPERTY: ROM Density (g/cm$^3$),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Young modulus (GPa),REFERENCE: year
,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,54,10.1016/j.jallcom.2009.08.090,ANNEAL,BCC,,,,,6.2,,484.0,,25.0,,,,,183.0,2009
,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,54,10.1016/j.jallcom.2009.08.090,ANNEAL,BCC,,,,,6.2,,517.0,,25.0,,,,,183.0,2009
,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,4,10.1016/j.jallcom.2008.07.124,CAST,BCC,,,,,6.2,,402.0,,25.0,,,,,183.0,2008
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.333,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.333,181,10.1016/j.jallcom.2019.07.100,CAST,,,,,56.27,,,641.7,C,25.0,1566.0,,11.85,,,2019
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.667,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.667,66,10.1016/j.msea.2008.12.053,CAST,,,,,,5.9,,,C,25.0,,2110.0,,10.0,133.0,2008
Al1 Co0.674 Cr0.419 Fe0.116 Ni0.116,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.674 Cr0.419 Fe0.116 Ni0.116,155,10.1016/j.actamat.2019.03.010,,,,,,,,,782.0,,,,,,,,2019
Al1 Co0.75 Cr1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.75 Cr1 Fe1 Ni1,181,10.1016/j.jallcom.2019.07.100,,,,,,,,,,C,25.0,1331.0,,20.0,,,2019
Al1 Co0.769 Cr0.769 Cu0.769 Fe0.769,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.769 Cr0.769 Cu0.769 Fe0.769,20,10.3166/acsm.31.633-648,,FCC+BCC,,,,,6.5,,476.0,,25.0,,,,,165.0,2019
Al1 Co0.8 Cr0.8 Fe0.8 Mn0.8 Ni0.8,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.8 Cr0.8 Fe0.8 Mn0.8 Ni0.8,16,10.1016/j.actamat.2013.09.037,CAST,BCC,,,,,6.6,,539.0,,25.0,,,,,190.0,2013
Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,54,10.1016/j.jallcom.2009.08.090,ANNEAL,BCC,,,,,6.5,,487.0,,25.0,,,,,188.0,2009
,Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,54,10.1016/j.jallcom.2009.08.090,ANNEAL,BCC,,,,,6.5,,499.0,,25.0,,,,,188.0,2009
Al1 Co0.833 Cr0.833 Fe0.833 Ni0.833 Ti0.667,,,,,,,,,,,,,,,,,,,,
,Al1 Co0.833 Cr0.833 Fe0.833 Ni0.833 Ti0.667,181,10.1016/j.jallcom.2019.07.100,CAST,,,,,49.95,,,639.6,C,25.0,1503.0,,7.73,,,2019
Al1 Co1 Cr0.091 Nb0.727 W0.212,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr0.091 Nb0.727 W0.212,212,10.1038/s41467-019-10533-1,CAST,,,,,,,,1084.0,,25.0,,,,,,2019
Al1 Co1 Cr1 Cu1 Fe1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Cu1 Fe1,20,10.3166/acsm.31.633-648,,FCC+BCC,,,,,6.8,,407.0,,25.0,,,,,172.0,2019
Al1 Co1 Cr1 Cu1 Fe1 Mn1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Cu1 Fe1 Mn1 Ni1,28,10.1016/j.msea.2008.08.025,CAST,FCC+BCC+Sec.,,,,,7.1,,,C,25.0,1005.0,,15.0,,,2008
,Al1 Co1 Cr1 Cu1 Fe1 Mn1 Ni1,208,10.1016/j.msea.2019.05.056,,,,,,,,,,C,25.0,1005.0,,,,,2019
Al1 Co1 Cr1 Cu1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Cu1 Fe1 Ni1,26,10.1016/j.msea.2012.07.003,CAST,FCC+BCC,,,,,7.1,,472.0,,25.0,,,,,184.0,2012
,Al1 Co1 Cr1 Cu1 Fe1 Ni1,28,10.1016/j.msea.2008.08.025,CAST,FCC+BCC,,,,,7.1,,,C,25.0,1303.0,,24.0,,183.0,2008
,Al1 Co1 Cr1 Cu1 Fe1 Ni1,64,10.1007/s11661-005-0218-9,CAST,FCC+BCC,,,,,7.4,,,C,1000.0,47.0,,,,,2005
,Al1 Co1 Cr1 Cu1 Fe1 Ni1,64,10.1007/s11661-005-0218-9,CAST,FCC+BCC,,,,,7.4,,,C,25.0,948.0,,,,,2005
,Al1 Co1 Cr1 Cu1 Fe1 Ni1,64,10.1007/s11661-005-0218-9,CAST,FCC+BCC,,,,,7.4,,,C,600.0,561.0,,,,,2005
,Al1 Co1 Cr1 Cu1 Fe1 Ni1,64,10.1007/s11661-005-0218-9,CAST,FCC+BCC,,,,,7.4,,,C,700.0,307.0,,,,,2005
,Al1 Co1 Cr1 Cu1 Fe1 Ni1,64,10.1007/s11661-005-0218-9,CAST,FCC+BCC,,,,,7.4,,,C,800.0,172.0,,,,,2005
,Al1 Co1 Cr1 Cu1 Fe1 Ni1,64,10.1007/s11661-005-0218-9,CAST,FCC+BCC,,,,,7.4,,,C,900.0,98.0,,,,,2005
,Al1 Co1 Cr1 Cu1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,CAST,,,,,,,,,T,25.0,790.0,790.0,0.2,,,2018
,Al1 Co1 Cr1 Cu1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,WROUGHT,,,,,,,,,T,25.0,1040.0,1170.0,1.0,,,2018
,Al1 Co1 Cr1 Cu1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,CAST,,,,,,,,,T,700.0,350.0,360.0,5.0,,,2018
,Al1 Co1 Cr1 Cu1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,WROUGHT,,,,,,,,,T,700.0,63.0,91.0,63.0,,,2018
,Al1 Co1 Cr1 Cu1 Fe1 Ni1,147,10.1016/j.vacuum.2018.12.009,CAST,,,,,,,,73.8,,,,,,,,2018
,Al1 Co1 Cr1 Cu1 Fe1 Ni1,181,10.1016/j.jallcom.2019.07.100,,,,,,,,,,C,25.0,1285.0,,24.6,,,2019
,Al1 Co1 Cr1 Cu1 Fe1 Ni1,208,10.1016/j.msea.2019.05.056,,,,,,,,,350.0,,,,,,,,2019
Al1 Co1 Cr1 Cu1 Fe1 Ni1 Ti1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Cu1 Fe1 Ni1 Ti1,28,10.1016/j.msea.2008.08.025,CAST,FCC+Sec.,,,,,6.6,,,C,25.0,1234.0,,9.0,,174.0,2008
,Al1 Co1 Cr1 Cu1 Fe1 Ni1 Ti1,181,10.1016/j.jallcom.2019.07.100,,,,,,,,,,C,25.0,1523.0,,8.1,,,2019
,Al1 Co1 Cr1 Cu1 Fe1 Ni1 Ti1,208,10.1016/j.msea.2019.05.056,,,,,,,,,,C,25.0,1243.0,,,,,2019
Al1 Co1 Cr1 Cu1 Fe1 Ni1 V1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Cu1 Fe1 Ni1 V1,28,10.1016/j.msea.2008.08.025,CAST,FCC+BCC,,,,,6.9,,,C,25.0,1469.0,,16.0,,175.0,2008
Al1 Co1 Cr1 Cu1 Ni1 Ti1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Cu1 Ni1 Ti1,29,10.1016/j.matdes.2009.09.016,,BCC,,,,,6.4,,,C,25.0,,1495.0,,8.0,36.0,2009
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.5,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.5,29,10.1016/j.matdes.2009.09.016,CAST,Other,,,,,6.1,,,C,25.0,,1025.0,,3.0,36.0,2009
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.8,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.8,29,10.1016/j.matdes.2009.09.016,CAST,Other,,,,,5.9,,,C,25.0,,1325.0,,5.0,38.0,2009
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y1,29,10.1016/j.matdes.2009.09.016,CAST,Other,,,,,5.8,,,C,25.0,,1192.0,,4.0,37.0,2009
Al1 Co1 Cr1 Fe0.6 Mo0.5 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Fe0.6 Mo0.5 Ni1,10,10.1016/j.wear.2009.10.013,CAST,BCC+Sec.,,,,,7.1,,754.0,,25.0,,,,,,2009
Al1 Co1 Cr1 Fe1 Mn1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Fe1 Mn1 Ni1,135,10.1016/j.jallcom.2018.10.168,CAST,,,,,,,,684.0,C,25.0,,,,0.0,,2018
Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,7,10.1016/j.msea.2010.07.028,CAST,BCC,,,,,6.8,,,C,25.0,1804.0,2280.0,,9.0,196.0,2010
Al1 Co1 Cr1 Fe1 Mo0.2 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Fe1 Mo0.2 Ni1,7,10.1016/j.msea.2010.07.028,CAST,BCC+Sec.,,,,,6.9,,,C,25.0,2456.0,2953.0,,3.0,,2010
Al1 Co1 Cr1 Fe1 Mo0.3 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Fe1 Mo0.3 Ni1,7,10.1016/j.msea.2010.07.028,CAST,BCC+Sec.,,,,,7.0,,,C,25.0,2649.0,3208.0,,3.0,,2010
Al1 Co1 Cr1 Fe1 Mo0.4 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Fe1 Mo0.4 Ni1,7,10.1016/j.msea.2010.07.028,CAST,BCC+Sec.,,,,,7.0,,,C,25.0,2670.0,3161.0,,3.0,,2010
Al1 Co1 Cr1 Fe1 Mo0.5,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Fe1 Mo0.5,11,10.1016/j.intermet.2012.09.008,CAST,,,,,,6.8,,857.0,,25.0,,,,,,2012
Al1 Co1 Cr1 Fe1 Mo0.5 Ni0.5,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Fe1 Mo0.5 Ni0.5,11,10.1016/j.intermet.2012.09.008,CAST,,,,,,7.0,,708.0,,25.0,,,,,,2012
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,63,10.1007/s11837-013-0753-6,CAST,B2+Sec.,,,,,7.1,,715.0,,25.0,,,,,,2013
,Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,7,10.1016/j.msea.2010.07.028,CAST,BCC+Sec.,,,,,7.1,,,C,25.0,2757.0,3036.0,,3.0,,2010
,Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,9,10.1002/adem.200900171,CAST,BCC+Sec.,,,,,7.1,,796.0,,25.0,,,,,,2010
,Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,10,10.1016/j.wear.2009.10.013,CAST,BCC+Sec.,,,,,7.0,,755.0,,25.0,,,,,,2009
,Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,11,10.1016/j.intermet.2012.09.008,CAST,,,,,,7.1,,730.0,,25.0,,,,,,2012
Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,8,10.1016/j.msea.2011.10.110,CAST,BCC,,,,,6.8,,569.0,C,25.0,1641.0,3285.0,,17.0,192.0,2011
,Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,208,10.1016/j.msea.2019.05.056,,BCC,,,,,,,520.0,C,25.0,1373.0,,,,,2019
Al1 Co1 Cr1 Fe1 Nb0.25 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Fe1 Nb0.25 Ni1,8,10.1016/j.msea.2011.10.110,CAST,BCC+Laves (C14),,,,,6.8,,668.0,C,25.0,1959.0,3008.0,,11.0,,2011
,Al1 Co1 Cr1 Fe1 Nb0.25 Ni1,208,10.1016/j.msea.2019.05.056,,,,,,,,,569.0,C,25.0,1641.0,,,,,2019
Al1 Co1 Cr1 Fe1 Nb0.5 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Fe1 Nb0.5 Ni1,8,10.1016/j.msea.2011.10.110,CAST,BCC+Laves (C14),,,,,7.0,,747.0,C,25.0,2473.0,3170.0,,4.0,,2011
,Al1 Co1 Cr1 Fe1 Nb0.5 Ni1,208,10.1016/j.msea.2019.05.056,,,,,,,,,668.0,C,25.0,1959.0,,,,,2019
Al1 Co1 Cr1 Fe1 Nb0.75 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Fe1 Nb0.75 Ni1,8,10.1016/j.msea.2011.10.110,CAST,BCC+Laves (C14),,,,,7.0,,,,25.0,,,,,,2011
,Al1 Co1 Cr1 Fe1 Nb0.75 Ni1,208,10.1016/j.msea.2019.05.056,,,,,,,,,747.0,C,25.0,2473.0,,,,,2019
Al1 Co1 Cr1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Fe1 Ni1,54,10.1016/j.jallcom.2009.08.090,ANNEAL,BCC,,,,,6.7,,484.0,,25.0,,,,,194.0,2009
,Al1 Co1 Cr1 Fe1 Ni1,54,10.1016/j.jallcom.2009.08.090,ANNEAL,FCC+BCC,,,,,6.7,,433.0,,25.0,,,,,194.0,2009
,Al1 Co1 Cr1 Fe1 Ni1,4,10.1016/j.jallcom.2008.07.124,CAST,BCC,,,,,6.7,,395.0,,25.0,,,,,194.0,2008
,Al1 Co1 Cr1 Fe1 Ni1,5,10.1016/j.msea.2008.01.064,CAST,BCC,,,,,6.7,,,C,25.0,1251.0,2004.0,,33.0,194.0,2008
,Al1 Co1 Cr1 Fe1 Ni1,6,10.1016/j.jallcom.2010.10.047,CAST,BCC,,,,,6.7,,,C,25.0,1138.0,,,11.0,125.0,2010
,Al1 Co1 Cr1 Fe1 Ni1,7,10.1016/j.msea.2010.07.028,CAST,BCC,,,,,6.7,,,C,25.0,1051.0,,,,194.0,2010
,Al1 Co1 Cr1 Fe1 Ni1,8,10.1016/j.msea.2011.10.110,CAST,BCC,,,,,6.7,,520.0,C,25.0,1373.0,3531.0,,25.0,194.0,2011
,Al1 Co1 Cr1 Fe1 Ni1,12,10.1016/j.msea.2010.07.049,CAST,BCC,,,,,5.7,,,C,25.0,1110.0,,,,169.0,2010
,Al1 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,CAST,,,,,,,,,T,25.0,395.0,400.0,1.0,,,2018
,Al1 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,CAST,,,,,,,,,C,25.0,1380.0,,10.0,,,2018
,Al1 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,ANNEAL,,,,,,,,,C,25.0,1430.0,,1.6,,,2018
,Al1 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,ANNEAL,,,,,,,,,C,25.0,1690.0,,2.7,,,2018
,Al1 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,ANNEAL,,,,,,,,,C,25.0,1220.0,,13.0,,,2018
,Al1 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,ANNEAL,,,,,,,,,C,25.0,1450.0,,20.0,,,2018
,Al1 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,ANNEAL,,,,,,,,,T,25.0,900.0,935.0,0.8,,,2018
,Al1 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,CAST,,,,,,,,,C,25.0,,,22.7,,,2018
,Al1 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,CAST,,,,,,,,,T,700.0,395.0,400.0,1.0,,,2018
,Al1 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,OTHER,,,,,,,,,T,700.0,295.0,393.0,12.0,,,2018
,Al1 Co1 Cr1 Fe1 Ni1,171,10.1016/j.matchar.2019.03.006,CAST,,,,,204.0,,,519.0,C,25.0,1631.0,,16.0,,,2019
,Al1 Co1 Cr1 Fe1 Ni1,171,10.1016/j.matchar.2019.03.006,CAST,,,,,185.0,,,493.0,C,25.0,1209.0,,23.0,,,2019
,Al1 Co1 Cr1 Fe1 Ni1,181,10.1016/j.jallcom.2019.07.100,,,,,,,,,,C,25.0,1300.0,,24.2,,,2019
,Al1 Co1 Cr1 Fe1 Ni1,181,10.1016/j.jallcom.2019.07.100,,,,,,,,,,C,25.0,1313.0,,19.0,,,2019
,Al1 Co1 Cr1 Fe1 Ni1,182,10.1016/j.jallcom.2019.06.301,POWDER,,,,,,,,,,,,,,,,2019
,Al1 Co1 Cr1 Fe1 Ni1,182,10.1016/j.jallcom.2019.06.301,POWDER,,,,,,,,,,,,,,,,2019
,Al1 Co1 Cr1 Fe1 Ni1,182,10.1016/j.jallcom.2019.06.301,POWDER,,,,,,,,,,,,,,,,2019
,Al1 Co1 Cr1 Fe1 Ni1,182,10.1016/j.jallcom.2019.06.301,POWDER,,,,,,,,,,,,,,,,2019
,Al1 Co1 Cr1 Fe1 Ni1,182,10.1016/j.jallcom.2019.06.301,POWDER,,,,,,,,,,,,,,,,2019
,Al1 Co1 Cr1 Fe1 Ni1,197,10.1016/j.matchar.2019.05.022,POWDER,,,,,10.21,,,550.0,C,25.0,1221.1,,30.0,23.2,,2019
,Al1 Co1 Cr1 Fe1 Ni1,197,10.1016/j.matchar.2019.05.022,POWDER,,,,,15.68,,,510.0,C,25.0,1186.7,,33.0,26.5,,2019
,Al1 Co1 Cr1 Fe1 Ni1,197,10.1016/j.matchar.2019.05.022,POWDER,,,,,16.7,,,503.0,C,25.0,1112.9,,30.0,21.4,,2019
,Al1 Co1 Cr1 Fe1 Ni1,200,10.1088/2053-1591/ab2517,CAST,,,,,,,,,C,25.0,1380.0,,,,,2019
,Al1 Co1 Cr1 Fe1 Ni1,200,10.1088/2053-1591/ab2517,POWDER,,,,,,,,,C,25.0,,,,,,2019
,Al1 Co1 Cr1 Fe1 Ni1,200,10.1088/2053-1591/ab2517,POWDER,,,,,,,,,C,25.0,,,,,,2019
,Al1 Co1 Cr1 Fe1 Ni1,200,10.1088/2053-1591/ab2517,POWDER,,,,,,,,,C,25.0,,,,,,2019
,Al1 Co1 Cr1 Fe1 Ni1,200,10.1088/2053-1591/ab2517,POWDER,,,,,,,,,C,25.0,,,,,,2019
,Al1 Co1 Cr1 Fe1 Ni1,200,10.1088/2053-1591/ab2517,POWDER,,,,,,,,,C,25.0,520.0,,,,,2019
,Al1 Co1 Cr1 Fe1 Ni1,200,10.1088/2053-1591/ab2517,POWDER,,,,,,,,,C,25.0,1150.0,,,,,2019
,Al1 Co1 Cr1 Fe1 Ni1,200,10.1088/2053-1591/ab2517,POWDER,,,,,,,,,C,25.0,1287.0,,,,,2019
,Al1 Co1 Cr1 Fe1 Ni1,200,10.1088/2053-1591/ab2517,POWDER,,,,,,,,,C,25.0,1286.0,,,,,2019
,Al1 Co1 Cr1 Fe1 Ni1,200,10.1088/2053-1591/ab2517,POWDER,,,,,,,,,C,25.0,1390.0,,,,,2019
,Al1 Co1 Cr1 Fe1 Ni1,200,10.1088/2053-1591/ab2517,POWDER,,,,,,,,,C,25.0,1626.0,,,,,2019
,Al1 Co1 Cr1 Fe1 Ni1,208,10.1016/j.msea.2019.05.056,,BCC,,,,,,,500.0,,,,,,,,2019
,Al1 Co1 Cr1 Fe1 Ni1,208,10.1016/j.msea.2019.05.056,,BCC,,,,,,,,C,25.0,1500.0,,,,,2019
Al1 Co1 Cr1 Fe1 Ni1 Si0.2,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Fe1 Ni1 Si0.2,12,10.1016/j.msea.2010.07.049,CAST,BCC,,,,,6.5,,,C,25.0,1265.0,2173.0,,14.0,188.0,2010
Al1 Co1 Cr1 Fe1 Ni1 Si0.4,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Fe1 Ni1 Si0.4,12,10.1016/j.msea.2010.07.049,CAST,BCC,,,,,6.2,,,C,25.0,1481.0,2444.0,,13.0,183.0,2010
Al1 Co1 Cr1 Fe1 Ni1 Si0.6,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Fe1 Ni1 Si0.6,12,10.1016/j.msea.2010.07.049,CAST,BCC,,,,,6.0,,,C,25.0,1834.0,2195.0,,3.0,178.0,2010
Al1 Co1 Cr1 Fe1 Ni1 Si0.8,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Fe1 Ni1 Si0.8,12,10.1016/j.msea.2010.07.049,CAST,BCC+Sec.,,,,,5.8,,,C,25.0,2179.0,2664.0,,2.0,,2010
Al1 Co1 Cr1 Fe1 Ni1 Si1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Fe1 Ni1 Si1,12,10.1016/j.msea.2010.07.049,CAST,BCC+Sec.,,,,,5.7,,,C,25.0,2411.0,2950.0,,1.0,,2010
Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,14,10.1063/1.2734517,CAST,BCC+BCC,,,,,6.4,,178.0,C,25.0,2260.0,3140.0,24.4,23.0,178.0,2007
,Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,181,10.1016/j.jallcom.2019.07.100,,,,,,,,,,C,25.0,2260.0,,23.3,,,2019
Al1 Co1 Cr1 Fe1 Ni1 Ti1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Fe1 Ni1 Ti1,66,10.1016/j.msea.2008.12.053,CAST,BCC+Laves,,,,0.15000000000000002,6.2,,,C,25.0,,2280.0,,6.0,148.0,2008
,Al1 Co1 Cr1 Fe1 Ni1 Ti1,14,10.1063/1.2734517,CAST,BCC+BCC,,,,,6.2,,,C,25.0,1860.0,2580.0,10.7,9.0,90.0,2007
,Al1 Co1 Cr1 Fe1 Ni1 Ti1,181,10.1016/j.jallcom.2019.07.100,CAST,,,,,30.49,,,703.0,C,25.0,1448.0,,6.18,,,2019
,Al1 Co1 Cr1 Fe1 Ni1 Ti1,181,10.1016/j.jallcom.2019.07.100,,,,,,,,,,C,25.0,1860.0,,8.8,,,2019
Al1 Co1 Cr1 Fe1 Ni1 Ti1 V1 Zr1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Fe1 Ni1 Ti1 V1 Zr1,15,10.1002/adem.200300567,CAST,,,,,,6.3,,780.0,,25.0,,,,,,2004
Al1 Co1 Cr1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cr1 Ni1,141,10.1016/j.jallcom.2018.11.057,CAST,,,,,,,,1183.0,C,25.0,1750.0,,16.7,,,2018
Al1 Co1 Cu1 Fe1 Nd1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cu1 Fe1 Nd1 Ni1,26,10.1016/j.msea.2012.07.003,CAST,Other,,,,,7.4,,578.0,,25.0,,,,,,2012
Al1 Co1 Cu1 Fe1 Ni0.5,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cu1 Fe1 Ni0.5,213,10.1016/j.jmst.2018.12.014,CAST,,,,,,,,430.9,C,25.0,929.0,,13.7,,,2018
Al1 Co1 Cu1 Fe1 Ni0.8,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cu1 Fe1 Ni0.8,213,10.1016/j.jmst.2018.12.014,CAST,,,,,,,,420.0,C,25.0,1021.0,,12.3,,,2018
Al1 Co1 Cu1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cu1 Fe1 Ni1,26,10.1016/j.msea.2012.07.003,CAST,FCC+BCC,,,,,7.0,,536.0,,25.0,,,,,164.0,2012
,Al1 Co1 Cu1 Fe1 Ni1,181,10.1016/j.jallcom.2019.07.100,,,,,,,,,,C,25.0,1060.0,,19.1,,,2019
,Al1 Co1 Cu1 Fe1 Ni1,213,10.1016/j.jmst.2018.12.014,CAST,,,,,,,,391.4,C,25.0,994.0,,24.5,,,2018
Al1 Co1 Cu1 Fe1 Ni1 Si1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cu1 Fe1 Ni1 Si1,26,10.1016/j.msea.2012.07.003,CAST,FCC+BCC,,,,,5.9,,682.0,,25.0,,,,,145.0,2012
Al1 Co1 Cu1 Fe1 Ni1 Ti1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cu1 Fe1 Ni1 Ti1,26,10.1016/j.msea.2012.07.003,CAST,FCC+BCC,,,,,6.5,,626.0,,25.0,,,,,156.0,2012
,Al1 Co1 Cu1 Fe1 Ni1 Ti1,181,10.1016/j.jallcom.2019.07.100,,,,,,,,,,C,25.0,1612.0,,12.8,,,2019
Al1 Co1 Cu1 Fe1 Ni1 Zr1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Cu1 Fe1 Ni1 Zr1,26,10.1016/j.msea.2012.07.003,CAST,FCC+BCC+Sec.,,,,,6.9,,472.0,,25.0,,,,,,2012
Al1 Co1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Fe1 Ni1,27,10.1016/j.jmmm.2014.07.023,CAST,BCC,,,,,6.6,,456.0,C,25.0,964.0,,,,173.0,2014
Al1 Co1 Fe1 Ni1 Ti1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Fe1 Ni1 Ti1,165,10.1016/j.jallcom.2019.02.083,POWDER,,,,,,,,667.0,C,25.0,,,,,,2019
Al1 Co1 Fe1 Ni1 Ti1 V1 Zr1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Fe1 Ni1 Ti1 V1 Zr1,15,10.1002/adem.200300567,CAST,BCC,,,,,6.2,,790.0,,25.0,,,,,143.0,2004
Al1 Co1 Ni1 Ti1,,,,,,,,,,,,,,,,,,,,
,Al1 Co1 Ni1 Ti1,165,10.1016/j.jallcom.2019.02.083,POWDER,,,,,,,,672.0,C,25.0,,,,,,2019
Al1 Cr0.077 Cu0.077 Mg0.077 Si0.231 Zn0.077,,,,,,,,,,,,,,,,,,,,
,Al1 Cr0.077 Cu0.077 Mg0.077 Si0.231 Zn0.077,103,10.1038/s41598-019-43329-w,CAST,FCC,,,,,,3.06,,C,25.0,490.0,,6.0,,78.4,2019
